,shared_memory_array,shared_memory_array_with_pipes
0,2.61050271987915,2.49430322647095
1,2.9621524810791,2.52510404586792
2,2.55292773246765,2.55930852890015
3,2.74270534515381,3.2511510848999
4,4.59449052810669,2.48666381835937
5,3.41015577316284,4.28233885765076
6,4.90820455551147,3.86220693588257
7,3.18575739860535,2.82533240318298
8,2.91499662399292,2.59928750991821
9,2.68331336975098,2.53647637367249
mean time taken (s),3.256520652771,2.94221727848053
